number,value,params_model_params.block_0_channels,params_model_params.block_1_channels,params_model_params.block_kernel_size_0,params_model_params.block_kernel_size_1,params_model_params.block_stride_0,params_model_params.block_stride_1,params_model_params.classifier_dropout,params_model_params.rnn_dropout,params_model_params.rnn_hidden_size,params_model_params.rnn_num_layers,params_model_params.rnn_type,params_model_params.se_reduction_ratio,params_model_params.use_depthwise,params_model_params.use_se,params_train_params.augmentations.channel_mask_max_channels,params_train_params.augmentations.channel_mask_prob,params_train_params.augmentations.enable,params_train_params.augmentations.noise_level,params_train_params.augmentations.time_mask_max_width,params_train_params.augmentations.time_mask_prob,params_train_params.batch_size,params_train_params.max_lr,params_train_params.weight_decay,state,user_attrs_best_model_relative_path,user_attrs_best_val_levenshtein,user_attrs_final_levenshtein_slope,user_attrs_final_slope_window,datetime_start,duration
0,0.256,96,192,11,11,2,2,0.2673032838648929,0.41041895047608695,320,2,LSTM,12,True,False,1,0.09229510416595328,False,0.048350741200005196,44,0.49714935359019885,8,0.0003,2.5928070352046336e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.256,-0.011733333333333335,4.0,2025-05-03 15:25:55.150696,0 days 00:17:59.055760
1,0.316,128,192,11,5,4,2,0.09999946086291073,0.39693902290983185,192,3,LSTM,16,True,False,2,0.2928643449714206,False,0.04106405859761669,59,0.157065269697521,8,0.0003,2.5843430854201844e-05,COMPLETE,MorseAudioDecoder/best_model.pth,0.316,-0.014133333333333336,4.0,2025-05-03 15:43:54.340754,0 days 00:14:31.097486
2,0.224,128,192,11,11,2,2,0.3268034196243115,0.057531344777466964,256,2,GRU,4,False,True,6,0.09944114081214472,False,0.01171806672640795,31,0.06057630717065504,8,0.0003,0.000432436229834474,COMPLETE,MorseAudioDecoder/best_model.pth,0.224,-0.005466666666666661,4.0,2025-05-03 15:58:25.571435,0 days 00:17:26.383067
3,0.26266666666666666,128,256,11,7,2,2,0.24580536963086508,0.33808208085772207,192,3,LSTM,12,True,False,2,0.24710975288981385,False,0.042440900715841307,58,0.4851617562773651,8,0.0003,6.562881435454807e-05,COMPLETE,MorseAudioDecoder/best_model.pth,0.26266666666666666,-0.005733333333333335,4.0,2025-05-03 16:15:52.091295,0 days 00:27:27.451688
4,0.26,128,128,7,5,2,2,0.07807727993198649,0.06258655505681143,320,2,LSTM,16,False,False,2,0.08917250001684858,False,0.03608010053348925,21,0.06443616901035992,8,0.0003,3.878459036915014e-05,COMPLETE,MorseAudioDecoder/best_model.pth,0.26,-0.009333333333333327,4.0,2025-05-03 16:43:19.679373,0 days 00:18:14.183448
5,0.292,128,192,5,11,4,2,0.022172607694669666,0.02981460323887386,256,2,LSTM,4,True,False,2,0.20059856567793918,False,0.0007490681128178967,43,0.48928785887173354,8,0.0003,6.931173381929415e-05,PRUNED,,,,,2025-05-03 17:01:33.992276,0 days 00:05:08.906634
6,0.208,128,192,5,11,2,2,0.40846309505460743,0.3628570545886997,384,3,GRU,12,True,True,3,0.07521100632854363,False,0.031031763974319972,66,0.17303367100727102,8,0.0003,0.0007309947237463715,COMPLETE,MorseAudioDecoder/best_model.pth,0.208,-0.009200000000000005,4.0,2025-05-03 17:06:43.036448,0 days 00:28:07.173786
7,8.838666666666667,96,192,11,7,4,2,0.13946293673073773,0.452811996097377,192,2,LSTM,16,True,True,4,0.21432134891110208,False,0.015138532630037749,73,0.4566038708966367,8,0.0003,3.382727108780468e-05,PRUNED,,,,,2025-05-03 17:34:50.345455,0 days 00:01:27.687278
8,0.22133333333333333,64,256,5,7,4,2,0.09921508467726903,0.4222252494465114,320,2,LSTM,8,False,True,6,0.1627120062135738,False,0.04208910941620338,78,0.42855009767665403,8,0.0003,3.2640510331162455e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.22133333333333333,-0.013599999999999992,4.0,2025-05-03 17:36:18.170292,0 days 00:10:25.555958
9,1.656,64,192,5,7,4,2,0.21030199239235897,0.15898718455078575,384,3,LSTM,4,False,True,4,0.13653500565901902,False,0.02336904575305215,63,0.05676065004792108,8,0.0003,5.275497719520833e-06,PRUNED,,,,,2025-05-03 17:46:43.878382,0 days 00:02:33.761070
10,0.23866666666666667,96,128,7,11,2,2,0.4777592242883968,0.2613904033357236,384,3,GRU,8,True,True,5,0.005512239720467896,False,0.03003617195062331,69,0.29750617035096927,8,0.0003,0.0009703307936410428,COMPLETE,MorseAudioDecoder/best_model.pth,0.23866666666666667,-0.014666666666666675,4.0,2025-05-03 17:49:17.780157,0 days 00:27:22.853055
11,0.192,64,256,5,7,4,2,0.4210612285281926,0.48753869964525254,384,3,GRU,8,False,True,6,0.009304527814669047,False,0.030954934034944787,80,0.3186339093892322,8,0.0003,1.2789647343407566e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.192,-0.010266666666666669,4.0,2025-05-03 18:16:40.766791,0 days 00:15:17.213091
12,0.19466666666666665,64,256,5,7,2,2,0.44465327984405595,0.3330109316979144,384,3,GRU,12,False,True,3,0.00519937690703548,False,0.025915786380037432,80,0.27394471907249185,8,0.0003,1.061007832159007e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.19466666666666665,-0.00040000000000000034,4.0,2025-05-03 18:31:58.113290,0 days 00:29:00.235419
13,0.19333333333333333,64,256,5,7,4,2,0.4874672790422534,0.4923050061276284,384,3,GRU,8,False,True,5,0.005208228464052916,False,0.020883645676837214,79,0.33090285027359734,8,0.0003,1.0226544418241497e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.19333333333333333,-0.0124,4.0,2025-05-03 19:00:58.490123,0 days 00:15:19.431149
14,0.19466666666666665,64,256,5,7,4,2,0.3517554535397205,0.4960408740247002,320,3,GRU,8,False,True,5,0.04346427001918053,False,0.0176287286174892,74,0.364120546899287,8,0.0003,1.217421216822108e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.19466666666666665,-0.01093333333333334,4.0,2025-05-03 19:16:18.058652,0 days 00:12:45.651368
15,0.22266666666666668,64,256,5,7,4,2,0.48835481492041033,0.4993448427964889,384,3,GRU,8,False,True,5,0.043271603280881685,False,0.007424880494374991,52,0.3496818383013704,8,0.0003,8.546116629207681e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.22266666666666668,-0.0041333333333333335,4.0,2025-05-03 19:29:03.846284,0 days 00:15:17.984249
16,0.368,64,256,5,7,4,2,0.39164083328360244,0.2472004910385014,384,3,GRU,8,False,True,6,0.042352098016271544,False,0.02298212592259079,79,0.19191542139856316,8,0.0003,1.413354315959825e-05,PRUNED,,,,,2025-05-03 19:44:21.970106,0 days 00:03:50.052379
17,0.172,96,256,7,5,4,2,0.49944176585578925,0.28000601862042285,256,3,GRU,4,False,True,5,0.0023620834302589136,False,0.03282397839900771,71,0.3521079604271347,8,0.0003,2.158754037929802e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.172,-0.010533333333333342,4.0,2025-05-03 19:48:12.167638,0 days 00:12:41.863998
18,0.36666666666666664,96,256,7,5,4,2,0.3196506925986089,0.15397220689281893,256,3,GRU,4,False,True,6,0.15441443022945617,False,0.034359897857704255,70,0.4002082089867667,8,0.0003,2.5624894474826216e-06,PRUNED,,,,,2025-05-03 20:00:54.176801,0 days 00:03:11.731363
19,0.316,96,128,7,5,4,2,0.4143229004113014,0.2808939319874264,256,3,GRU,4,False,True,4,0.05773040636495028,False,0.03809056560219247,54,0.23245304501697225,8,0.0003,8.765718809999771e-06,PRUNED,,,,,2025-05-03 20:04:06.047530,0 days 00:04:35.706069
20,0.212,96,256,7,5,4,2,0.43756136238904647,0.11373106957587026,320,3,GRU,4,False,True,5,0.11965102900449913,False,0.04872831225314267,44,0.39475611618231016,8,0.0003,0.00012570777435091983,COMPLETE,MorseAudioDecoder/best_model.pth,0.212,-0.0018666666666666692,4.0,2025-05-03 20:08:41.891924,0 days 00:13:18.015107
21,0.9586666666666667,64,256,7,5,4,2,0.4898261528465895,0.45654453841897935,256,3,GRU,8,False,True,5,0.0019201390942558544,False,0.02859020895091146,74,0.3218830632429776,8,0.0003,1.6232109131606602e-06,PRUNED,,,,,2025-05-03 20:22:00.054683,0 days 00:02:02.781710
22,0.41733333333333333,64,256,5,7,4,2,0.49933454621108714,0.20569715700675267,320,3,GRU,8,False,True,6,0.02363530868488966,False,0.019839857382605876,80,0.2544588015130634,8,0.0003,4.471303918525379e-06,PRUNED,,,,,2025-05-03 20:24:02.977941,0 days 00:03:35.742827
23,0.196,96,256,5,7,4,2,0.3755033148597605,0.30765124086279194,384,3,GRU,8,False,True,5,0.025658004774567242,False,0.032637258587378426,64,0.3281980660547409,8,0.0003,1.6798743579717442e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.196,-0.004799999999999999,4.0,2025-05-03 20:27:38.864852,0 days 00:15:42.304973
24,0.3973333333333333,64,256,7,5,4,2,0.43219614316873367,0.45913545598678296,320,3,GRU,4,False,True,4,0.06441534509060932,False,0.026813038104109402,74,0.3720719680250146,8,0.0003,2.1884051365588966e-06,PRUNED,,,,,2025-05-03 20:43:21.312220,0 days 00:03:23.203396
25,0.29733333333333334,64,256,5,7,4,2,0.45167285162371806,0.38482908141088223,256,3,GRU,12,False,True,6,0.0247083957318354,False,0.020601340421915672,68,0.29765785184955434,8,0.0003,1.0027445578188097e-06,PRUNED,,,,,2025-05-03 20:46:44.656686,0 days 00:04:58.387637
26,0.38266666666666665,64,256,7,5,4,2,0.3620296535782175,0.2237346679614855,384,3,GRU,8,False,False,5,0.025508016641160643,False,0.011369362669281942,60,0.22166422610403475,8,0.0003,5.962659819080457e-06,PRUNED,,,,,2025-05-03 20:51:43.182194,0 days 00:03:51.598502
27,0.39066666666666666,96,256,5,7,4,2,0.2959205529639093,0.42427504490572776,192,3,GRU,4,False,True,4,0.06313667453966629,False,0.03590863937999791,75,0.11783167861316812,8,0.0003,1.600714987796606e-05,PRUNED,,,,,2025-05-03 20:55:34.923541,0 days 00:03:16.252076
28,0.17333333333333334,96,192,7,7,4,2,0.46105345682055715,0.47399226542969153,320,3,GRU,8,False,True,6,0.0003482395100116043,False,0.02571201461300709,70,0.4032105608721569,8,0.0003,3.340954868174791e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.17333333333333334,-0.01293333333333333,4.0,2025-05-03 20:58:51.316481,0 days 00:12:46.355751
