number,value,params_model_params.block_kernel_size_0,params_model_params.block_kernel_size_1,params_model_params.block_stride_0,params_model_params.block_stride_1,params_model_params.classifier_dropout,params_model_params.rnn_dropout,params_model_params.rnn_hidden_size,params_model_params.rnn_type,params_train_params.batch_size,params_train_params.max_lr,params_train_params.optimizer,params_train_params.weight_decay,state,user_attrs_best_model_absolute_path,user_attrs_best_val_levenshtein,user_attrs_final_levenshtein_slope,user_attrs_final_slope_window,datetime_start,duration
0,0.28,11,11,4,3,0.4405603861545576,0.20085061082888533,256,LSTM,8,0.0003,AdamW,0.0007751453226853357,COMPLETE,hpo_run_2025-05-02_19-49-04\trial_0\best_model.pth,0.28,-0.015000000000000013,3.0,2025-05-02 19:49:04.823596,0 days 00:09:37.881078
1,0.29,11,5,4,4,0.1774676732724796,0.21100823925657664,192,LSTM,8,0.0003,AdamW,1.0162296637290583e-05,COMPLETE,hpo_run_2025-05-02_19-49-04\trial_1\best_model.pth,0.29,-0.009999999999999981,3.0,2025-05-02 19:58:42.838431,0 days 00:09:31.014005
2,0.31333333333333335,5,7,4,4,0.3215359225983687,0.22709146125594404,256,GRU,8,0.0003,AdamW,1.8425133458444654e-05,COMPLETE,hpo_run_2025-05-02_19-49-04\trial_2\best_model.pth,0.31333333333333335,-0.004166666666666652,3.0,2025-05-02 20:08:13.986494,0 days 00:07:34.389216
3,0.265,7,11,3,4,0.12897998274903877,0.3824747768632145,384,LSTM,8,0.0003,AdamW,0.000542680636623141,COMPLETE,hpo_run_2025-05-02_19-49-04\trial_3\best_model.pth,0.265,-0.021666666666666667,3.0,2025-05-02 20:15:48.532130,0 days 00:15:25.056285
4,0.25,5,7,4,4,0.43184655198399136,0.24970538029858527,192,LSTM,8,0.0003,AdamW,1.518795999089651e-05,COMPLETE,hpo_run_2025-05-02_19-49-04\trial_4\best_model.pth,0.25,-0.0050000000000000044,3.0,2025-05-02 20:31:13.722202,0 days 00:09:31.055463
5,0.49833333333333335,11,5,4,4,0.4325341730838381,0.3844781131994681,256,GRU,8,0.0003,AdamW,6.275570736693901e-05,PRUNED,,,,,2025-05-02 20:40:44.931326,0 days 00:02:34.392819
6,8.841666666666667,5,5,3,4,0.38434194835844726,0.20009065385953084,192,LSTM,8,0.0003,AdamW,2.4541742829261194e-05,PRUNED,,,,,2025-05-02 20:43:19.474677,0 days 00:02:04.136305
7,0.4866666666666667,5,7,3,3,0.45457492083445583,0.16322586726289506,384,GRU,8,0.0003,AdamW,0.0002749600631605398,PRUNED,,,,,2025-05-02 20:45:23.762777,0 days 00:04:25.282005
8,0.5783333333333334,5,7,3,4,0.1787216184940942,0.1255618593601483,384,GRU,8,0.0003,AdamW,1.7671284444579887e-05,PRUNED,,,,,2025-05-02 20:49:49.178862,0 days 00:03:24.727410
9,8.745,7,5,3,3,0.21930131512700768,0.25815930599069026,192,LSTM,8,0.0003,AdamW,1.0360884573101209e-05,PRUNED,,,,,2025-05-02 20:53:14.036812,0 days 00:02:20.253303
10,8.928333333333333,5,7,4,3,0.3184122808347956,0.2970020979945627,192,LSTM,8,0.0003,AdamW,7.54436129836992e-05,PRUNED,,,,,2025-05-02 20:55:34.421086,0 days 00:01:48.881391
11,,7,11,3,4,0.24272830699415682,0.3370271220416948,384,LSTM,8,0.0003,AdamW,0.00024468734669516514,FAIL,,,,,2025-05-02 20:57:23.431147,0 days 00:04:33.676973
